Experiment,Epoch,Loss,Accuracy
Unfrozen Encoder,37,0.0711,97.4
Unfrozen Encoder,38,0.0726,97.32
Unfrozen Encoder,39,0.0697,97.43
Unfrozen Encoder,40,0.0684,97.44
Unfrozen Encoder,41,0.0591,97.83
Unfrozen Encoder,42,0.0592,97.89
Unfrozen Encoder,43,0.0648,97.48
Unfrozen Encoder,44,0.0616,97.75
Unfrozen Encoder,45,0.0535,98.11
Unfrozen Encoder,46,0.0519,98.11
Unfrozen Encoder,47,0.0548,97.92
Unfrozen Encoder,48,0.0523,98.08
Unfrozen Encoder,49,0.0515,98.16
Unfrozen Encoder,50,0.053,98.11
Unfrozen Encoder,51,0.0486,98.25
Unfrozen Encoder,52,0.049,98.15
Unfrozen Encoder,53,0.0456,98.36
Unfrozen Encoder,54,0.0459,98.31
Unfrozen Encoder,55,0.0458,98.34
Unfrozen Encoder,56,0.0444,98.44
Unfrozen Encoder,57,0.0483,98.2
Unfrozen Encoder,58,0.0452,98.37
Unfrozen Encoder,59,0.0448,98.38
Unfrozen Encoder,60,0.0411,98.5
Unfrozen Encoder,61,0.0409,98.53
Unfrozen Encoder,62,0.0374,98.71
Unfrozen Encoder,63,0.039,98.56
Unfrozen Encoder,64,0.036,98.69
Unfrozen Encoder,65,0.0388,98.6
Unfrozen Encoder,66,0.0369,98.62
Unfrozen Encoder,67,0.0388,98.65
Unfrozen Encoder,68,0.0382,98.62
Unfrozen Encoder,69,0.034,98.82
Unfrozen Encoder,70,0.033,98.77
Unfrozen Encoder,71,0.0348,98.78
Unfrozen Encoder,72,0.0314,98.87
Unfrozen Encoder,73,0.0312,98.9
Unfrozen Encoder,74,0.0332,98.78
Unfrozen Encoder,75,0.0351,98.7
Unfrozen Encoder,76,0.0293,99.01
Unfrozen Encoder,77,0.0338,98.79
Unfrozen Encoder,78,0.0291,98.94
Unfrozen Encoder,79,0.0305,98.95
Unfrozen Encoder,80,0.0279,98.97
